U_S_R_I,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
83_305,"0","271739","0","35257","22141","7921","3139","9038","53559","42623","52845","112305","104990","466189","291392","91727","251548"
83_017,"0","10990","0","25306","30017","12881","2186","3983","5726","136","3467","1206320","11252","428637","52657","20773","1908"
83_306,"0","375166","0","42379","12499","2956","1145","8878","15149","37748","32596","47509","39068","512436","486892","29905","172087"
83_013,"0","449296","0","43915","20646","10962","5420","11229","6877","8534","15455","59034","37873","401949","378501","34781","331945"
83_080,"348222","8816","0","7286","10665","5933","253","1559","631","2","92","1071427","335033","8488","10193","3517","4300"
83_308,"0","2342","0","30874","32659","11072","1622","3660","14712","2181","35166","866424","4894","717297","62889","28674","1776"
83_309,"0","3619","0","32192","20343","9348","1781","2085","563","23","2587","1288522","169303","151405","98636","26784","9053"
83_016,"0","71175","0","18478","33005","13878","1951","2036","9996","505","19518","1098274","11130","443537","44136","18269","30350"
83_310,"696180","5757","0","7028","5589","1241","165","295","158","1","93","872614","213186","4461","4271","1797","3410"
83_018,"0","10387","0","26889","14133","3648","736","2740","720","0","509","1548221","158941","6257","3102","30397","9568"
83_307,"0","320301","0","47321","29987","12519","3251","7388","55144","13575","31030","356490","79795","187064","417013","53017","202177"
83_009,"0","3891","0","15553","6349","1742","405","2692","158","447","3559","1481166","234161","32930","1808","24631","6750"
83_304,"767164","3821","0","6394","5491","2146","555","11625","300","16","613","972190","12336","4116","1723","21007","6766"
83_006,"0","22758","0","56156","39677","61817","21575","33737","11108","8237","14505","222310","126055","37997","1008476","22827","129177"
83_005,"0","17800","0","46585","22936","13006","4545","25695","14246","6792","7526","543483","66365","586083","415218","25516","20613"
83_303,"0","551","0","22648","4716","962","63","1667","12988","3847","6349","701540","230928","715252","81150","30758","2993"
83_008,"0","563","0","19173","8765","2257","260","3516","12","20865","598","944219","707077","104187","0","4215","535"
83_302,"0","59073","0","26132","12282","2766","481","37961","51377","61114","10445","492771","226729","636179","115023","28826","55249"
83_007,"0","206","0","20191","6049","1497","202","2829","24","11257","690","638898","1036308","95792","0","2244","223"
83_410,"181001","5212","0","9828","16474","5115","245","10166","1572","285","553","1102483","250073","195851","12647","18284","6625"
83_204,"0","2252","0","8468","13314","2867","96","5243","1","105","357","1042348","647974","73841","0","10752","8622"
83_002,"0","271","0","12991","5772","1015","89","3675","48477","1322","3142","609674","957652","165974","2084","2252","2026"
83_003,"0","111","0","17262","4233","584","50","1961","280","190","2999","937303","637108","149241","58510","5281","1129"
83_115,"12574","36307","0","14142","10943","1760","108","4269","305","40","2438","1149319","349045","188230","2045","21456","23265"
