U_S_R_I,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
25_038,"0","214427","0","221888","178561","65051","18069","4407","10684","565466","4183","96317","55041","62537","1184","310052","8377"
25_062,"232476","549463","0","53506","16039","3382","644","10378","500","315626","21467","18915","30166","3101","470","470887","89390"
25_018,"0","266049","0","96621","78050","34978","8385","10677","31482","464667","43286","80324","38706","52098","81810","479698","49417"
25_015,"0","360003","0","61280","14799","3952","1372","9925","101","89293","104","6601","3787","102","1","1155336","109585"
25_059,"0","14679","0","94003","25356","1761","389","4514","25518","487297","3544","161748","119530","414583","125542","311960","25981"
25_009,"318047","715804","0","37384","17106","4105","686","15434","564","82433","20","13754","6510","62","1","522832","81669"
25_011,"426274","336373","0","56673","16124","1623","133","3677","9581","258586","991","124819","79119","2192","112","436701","63439"
25_921,"480895","704075","0","24619","11698","2571","408","12604","427","62552","15","10649","3300","2","4","411842","90743"
25_021,"0","152195","0","147716","34268","10113","2927","11442","25359","687476","13575","152574","85895","113261","27370","325672","26572"
25_113,"0","94806","0","106655","37855","16126","3453","3846","19499","711765","2811","71495","58273","303536","7073","268798","110251"
25_084,"0","93435","0","97857","26189","3931","657","5183","13477","562977","776","61102","69160","44526","18896","727631","90441"
25_064,"0","182020","0","79141","25892","5972","1081","4076","5097","564535","3670","109305","37292","157335","24100","559238","57666"
25_063,"0","100687","0","99128","12593","2375","423","5206","9274","874180","855","71663","70520","229413","7133","284067","48724"
25_014,"0","8942","0","157956","35317","5638","878","4185","3942","690823","2100","56981","69442","447424","97698","216952","18128"
25_065,"0","29058","0","176743","63992","30102","9751","5675","5088","586200","4700","30191","55762","703985","21326","54105","39561"
25_903,"0","235733","0","86363","12630","841","151","3552","1026","1000701","964","114225","41518","44746","269","230172","43523"
25_915,"274528","617999","0","67683","41141","13248","3721","4197","277","124061","4697","16126","8664","24200","4342","402911","208617"
25_922,"109560","376591","0","214494","159040","42895","8369","14021","4037","343931","7770","25297","19930","109932","559","259064","120918"
25_066,"0","25159","0","207936","82493","18310","5120","15013","5099","667502","6168","26934","27549","342040","4122","324771","58189"
25_025,"101227","597144","0","81234","53277","15542","4363","3335","285","120158","4754","16486","8757","25909","4003","481966","297806"
25_023,"0","198981","0","149968","80726","45736","11052","7927","709","180733","3969","15527","24984","592588","24393","343266","135862"
25_918,"0","86400","0","164188","105140","48650","8742","2240","1255","155620","6574","38197","14198","168040","3634","730444","282921"
25_905,"0","23931","0","143131","46294","13534","4242","14111","2342","613591","4290","17135","25176","476769","18589","362717","50556"
25_068,"0","306154","0","325072","299539","172699","60048","15882","320","66540","16509","21316","25624","194318","40530","220932","50761"
25_906,"0","20549","0","81446","13693","5161","1514","3041","3498","327280","9852","21756","10898","403113","20665","849587","44200"
25_085,"366855","375880","0","176377","179943","91451","19028","2386","473","177096","5876","16340","20418","83400","12","230834","70045"
25_020,"0","22258","0","169103","62969","34352","7476","4071","4653","327696","12006","28484","19530","421423","47185","618675","36547"
25_022,"0","72440","0","200978","90140","47242","19549","5788","3515","158647","11435","31899","21619","402959","37833","672065","40315"
25_067,"0","81340","0","32232","9936","2122","395","7331","4123","90691","17618","105574","19387","599040","32647","628676","185300"
25_116,"0","250885","0","266897","306235","248008","77063","2441","446","130604","6539","13999","9499","93278","1236","375016","34269"
25_069,"0","260828","0","174296","92139","41843","7773","1538","5309","56626","10659","63500","15019","392368","32410","558992","103110"
25_070,"0","193188","0","261759","155143","127023","47398","33523","3073","77297","15075","31637","48647","342780","76378","350904","52598"
25_030,"0","76523","0","10619","6293","399","40","625","4552","63306","51953","175596","16537","697073","21538","559115","132243"
25_129,"0","135648","0","115883","45751","14433","5198","38438","2606","49591","10817","46532","146748","393376","359089","363312","88984"
25_073,"0","130601","0","135499","59513","18388","5220","2360","13300","118116","33380","199464","23920","325425","235887","467847","47485"
25_175,"608735","396594","0","130886","94347","35262","7881","5524","499","21922","4046","5051","7115","68693","242532","155424","31902"
25_027,"0","76038","0","29232","10236","1565","771","94356","7524","49710","18814","83463","96535","615243","153459","462351","116941"
25_017,"0","35685","0","138461","64209","30608","5665","4891","24237","58463","32822","80269","13284","694530","79535","487914","65663"
25_074,"0","41360","0","164134","114406","40824","12189","3236","2104","35566","9537","17570","9993","458171","542824","305522","58641"
25_072,"0","7542","0","61318","17447","4632","1342","2341","1504","15142","5949","34172","9699","800528","362003","442546","50078"
25_071,"0","25442","0","147005","54938","18563","3147","2814","26570","75321","54899","45939","12728","598133","41409","606335","103168"
25_024,"0","136352","0","82020","35495","5265","866","4135","6463","54752","17126","120639","21331","682589","222053","334475","92850"
25_031,"0","459856","0","17110","11060","2842","945","1597","2434","25636","7384","7229","14835","345807","386184","386273","147050"
25_919,"0","431918","0","16008","12007","3343","1205","1553","378","21172","5263","3573","11267","220018","546130","359358","183218"
25_916,"0","261576","0","189332","104022","38616","8210","981","1558","22252","7543","18029","7252","284589","73587","574130","224571"
25_082,"0","9669","0","56504","13277","2754","520","1919","15566","90403","37598","275061","76184","603842","114132","422785","96024"
25_910,"0","199466","0","184947","107046","49199","10242","2343","2681","33396","12983","30250","11470","293604","39863","610912","227842"
25_911,"0","31301","0","163660","87727","20041","4135","8918","178","15509","1869","1534","8814","146197","517977","471398","337157"
25_086,"0","45496","0","184973","106286","37814","9544","2373","5666","58502","25515","118717","19223","311271","95977","595825","199061"
25_132,"0","590462","0","200289","179292","65957","14436","2410","841","14991","3265","13517","8422","59095","2711","461611","198776"
25_081,"0","6116","0","65439","13878","1692","435","1213","1147","55561","9926","15081","10773","533274","407142","445258","249303"
25_076,"0","39992","0","3305","3865","872","247","4379","0","30","0","1","1242","76","844356","72089","845955"
25_912,"0","35772","0","2904","3308","369","58","14945","0","454","188","90","3814","51516","512513","139878","1050599"
25_026,"0","30162","0","152101","90317","31156","4766","5303","733","22002","2256","8614","12017","232019","223005","938384","63406"
25_077,"146445","110810","0","246304","446955","290631","104092","3074","64","2974","230","2776","3513","3265","12964","66103","376208"
25_087,"74043","442079","0","30523","21889","11072","1368","413","31","4207","745","582","26242","6880","318","961124","234894"
25_040,"0","50158","0","36477","42784","41847","13525","2399","46","392","66","676","2049","2750","5087","91877","1526111"
25_028,"0","52456","0","3611","4616","819","138","31","37","100974","27449","916","263","0","143","826891","797892"
25_178,"0","156189","0","172616","212385","81588","19374","6734","268","7140","1606","6011","2151","527","277940","145848","726033"
25_907,"0","20994","0","31059","17941","5655","1718","2888","575","3421","17332","25172","2970","757","123055","138923","1423949"
25_079,"0","26216","0","61933","39921","14913","3793","4654","612","4017","17426","25870","3306","763","170169","132395","1310423"
25_180,"401308","856958","0","11024","7887","5290","1102","999","130","78","168","33","663","2","1115","135665","393985"
25_135,"0","544188","0","3235","348","135","17","1","380","1603","3161","15605","2262","705","109","440552","803942"
25_036,"593500","1181960","0","2955","4237","3631","591","12","0","3","0","0","732","0","1","13986","14642"
25_183,"426325","1200915","0","9959","10698","6220","922","1041","0","43","0","65","982","0","0","54078","105171"
27_041,"0","17191","0","117817","8958","3204","864","560","842522","119573","622019","12689","6773","60600","2373","1099","177"
27_040,"0","30349","0","134374","12855","3545","1065","3856","810810","112359","522680","14682","24490","140718","3209","605","816"
27_026,"0","22186","0","132308","46237","19609","12265","2874","517309","293545","196185","63526","81427","374454","35466","10630","8388"
27_030,"0","21163","0","158219","48911","14545","5024","3339","865270","93630","242958","17095","41021","296589","3287","4940","419"
27_037,"0","11565","0","85465","16700","3876","1703","1048","823825","202148","203948","50030","64443","323405","22313","4600","1170"
27_039,"0","20105","0","155089","70419","22526","11449","4240","497462","288831","189422","75930","84444","355382","27207","9751","3986"
27_042,"0","29494","0","435064","338897","129606","48771","6468","428018","120645","109886","4955","22251","123290","23","17135","1911"
27_027,"0","62815","0","225254","147119","44931","17405","5875","501561","292887","175347","46245","56286","205886","29020","4477","1308"
27_024,"0","14220","0","128190","65187","19470","6506","6605","577634","116128","161468","23151","57246","568081","5133","60581","6809"
27_020,"0","12842","0","126345","61065","21466","6286","7346","430024","421907","189310","38446","82061","346193","10295","59653","3177"
27_119,"0","68179","0","57582","11177","2303","850","9125","288746","737922","138561","70545","115836","245412","1816","63108","5252"
27_047,"0","141159","0","65958","12750","3585","1052","9162","273122","783661","144197","72407","95067","170067","1032","41419","1607"
27_043,"0","23840","0","250002","208910","61488","29965","5419","557748","298985","99088","18105","34161","185097","2","42105","1494"
27_123,"0","38967","0","128462","85819","23319","11979","4219","584257","396401","115947","31452","70877","279042","0","43995","1506"
27_036,"0","11566","0","90828","48566","11278","4633","2540","602705","406882","132163","65040","84696","325984","1294","26947","1293"
27_032,"0","166330","0","130685","92380","38202","12887","11771","277949","614465","136588","47285","84644","130059","6086","64726","2361"
27_031,"0","99832","0","89250","19078","4583","1097","7224","324604","585437","212179","53245","99273","262229","3873","53103","1067"
27_045,"0","24433","0","93715","24180","6329","2713","6493","439224","456622","167929","34963","64863","402829","5683","85187","1081"
27_044,"0","31006","0","282656","242518","77950","42442","6744","366920","314188","68632","14653","36557","248842","2319","78948","1863"
27_022,"0","40275","0","184501","142463","35086","13696","4892","368597","385496","85597","18724","48297","343720","1488","137049","6532"
27_046,"0","36784","0","88898","21195","6845","3098","5889","542144","500509","173578","64503","85882","212182","5961","67559","1389"
27_900,"0","32358","0","74760","15687","5369","2732","5631","488385","610042","243095","62836","86771","130363","861","56152","1039"
27_048,"0","19831","0","60032","13217","4165","2219","21517","272836","614348","179292","74187","135367","105344","42132","261177","10749"
27_016,"0","26581","0","74728","28618","5827","2584","2122","541870","426585","108041","82873","61426","355613","1695","95917","1934"
27_051,"0","10908","0","67385","12215","2073","448","558","124083","510458","115731","52901","123952","101733","329975","350966","13028"
27_034,"0","16744","0","52183","15833","2772","629","262","68091","403844","14415","100590","138677","32758","339598","609108","20744"
27_015,"0","18804","0","68275","17345","4335","1615","3074","496491","497170","141502","119891","113787","241010","12066","79277","1774"
27_035,"0","29094","0","163257","87788","40144","19407","23437","270465","360897","257273","85088","106363","110412","24006","227420","11365"
27_054,"0","19011","0","50433","16595","3480","955","482","35126","444739","14877","74139","85338","27826","358193","667581","17642"
27_013,"0","17621","0","88889","21594","5818","2928","1288","81442","559079","100825","77789","162119","88540","236119","356533","15660"
27_038,"0","7572","0","61169","17521","5013","957","7717","236457","533162","228750","147254","227631","115487","119455","106215","2052"
27_111,"0","30610","0","108245","67002","31714","19153","7299","4246","493426","20465","53542","99912","37716","58891","740078","44114"
27_050,"0","15702","0","72130","13992","3001","1606","918","23407","724010","41718","64137","130197","29785","261900","421703","12210"
27_014,"0","18563","0","74780","24434","3964","1521","623","39697","434157","91377","33696","66315","23200","593183","398007","12904"
27_112,"0","19673","0","81262","36210","7227","2641","579","16670","541957","34296","133329","128141","112526","268794","419142","13964"
27_028,"0","14868","0","60593","26183","5393","1595","761","44828","292886","118374","11857","57758","21164","848782","300634","10746"
27_049,"0","26555","0","69933","38903","9239","4245","773","26374","289954","81570","7615","50059","9592","889383","300727","11320"
27_033,"0","12744","0","66872","21632","5667","2841","2641","92411","439882","218006","64700","87614","16178","565229","213740","6256"
27_053,"0","18687","0","63225","12475","2428","889","1712","21120","755240","29261","66411","154731","38118","218279","416462","17203"
27_005,"0","25134","0","63215","25591","4458","1087","3051","8017","472146","26361","136042","139922","116598","238632","524102","31883"
27_052,"0","23522","0","59010","17096","1555","354","964","22572","514331","58251","27940","76528","22377","525446","456829","9465"
27_056,"0","195656","0","92162","47981","20898","8039","8124","2692","492474","5784","31527","37809","11731","149","445669","415539"
27_029,"0","36793","0","54723","22333","2383","530","473","28874","389605","80544","16298","49112","10337","739046","373087","12269"
27_156,"0","27048","0","85480","38056","15582","5756","4108","5118","616760","4989","92903","108574","22602","4604","685279","99545"
27_009,"0","114781","0","54604","8788","1777","504","1085","119715","636790","243928","142452","103772","20369","236290","129233","2148"
27_007,"0","34322","0","74308","21839","4445","2418","740","15961","513313","27394","34366","80092","29044","536127","426425","15613"
27_155,"0","23976","0","88054","29733","7070","3484","782","11518","566287","22057","56874","74456","34804","487707","387249","22358"
27_010,"0","14560","0","52689","9545","1593","344","576","69392","342436","138854","51074","57195","8022","722396","337273","10287"
27_021,"0","12907","0","58269","20920","4050","1781","847","60714","395744","93473","20097","71613","8128","622491","426969","18405"
27_018,"0","26446","0","75974","31614","9288","5487","607","8977","328118","23873","9301","36650","12364","736306","493925","17318"
27_003,"0","178101","0","103286","48386","17446","9401","7402","1886","446636","102","50910","70004","11787","138","508669","362102"
27_008,"0","148824","0","99722","45642","16654","9063","6894","1862","471727","107","56755","76454","12186","137","536787","333280"
27_025,"0","16239","0","59364","28637","4491","1329","574","19156","395034","51633","18183","47111","10052","924540","224067","15841"
27_117,"0","6261","0","78405","48471","10377","5293","497","2087","361969","1052","230410","103914","78031","65369","789578","34542"
27_004,"0","14919","0","109932","48989","19303","11013","918","8105","573977","56027","39167","49087","19010","317807","525505","22666"
27_001,"0","85630","0","71918","28794","9668","2445","3147","20484","624581","1607","63177","98245","13913","72","562658","229914"
27_006,"0","18818","0","66500","24542","4564","1739","1963","9415","582090","42830","36070","50061","27003","481164","448370","21296"
27_102,"0","13189","0","40464","12938","1686","375","1740","19576","478953","1417","153795","145487","52320","1576","842191","50377"
27_158,"0","5876","0","41113","12058","547","74","558","19075","703553","10382","75866","148235","23100","28549","726422","21016"
27_057,"0","13836","0","78889","24851","7643","3473","425","17805","571028","71289","36729","46275","16393","540989","370996","15809"
33_001,"0","18235","0","17834","12216","2016","284","1691","7323","1212409","309","243999","115164","1742","149248","14785","18998"
33_002,"0","74033","0","39642","52648","24286","3383","4882","660","1297201","373","230357","51987","534","21703","9397","5316"
33_003,"0","1823","0","4246","1226","158","0","260","1849","1407247","403","316806","80876","0","1","765","763"
33_004,"0","9083","0","51590","7515","1079","80","13","15521","384765","2023","211964","333010","12504","778684","1329","7255"
33_005,"0","7033","0","6937","698","11","15","0","3336","1391113","6566","175514","200362","19383","2143","1686","1620"
33_006,"0","3237","58","3008","1276","206","0","7605","111","1350668","40","225063","221126","51","0","2662","1307"
33_007,"0","3696","0","12736","4493","1389","173","123","142","1222620","65","167355","249821","53913","96107","2122","1660"
33_008,"0","409","0","339","212","36","1","6","1","1577786","29","110694","118406","270","0","5457","2767"
33_010,"0","3298","161","9172","8788","2279","263","21588","62","564910","28","881199","176031","123944","8532","3828","12162"
33_012,"0","5479","459","2766","2222","219","1","4818","370","781330","1","345882","613430","1955","0","11632","45853"
33_013,"0","2714","0","1828","2306","849","5","692","78","757567","0","885199","126282","16037","10352","7545","4790"
33_014,"0","237","61","9583","4063","1381","46","1082","5","432647","41","925835","340123","47639","35041","1647","16817"
33_015,"0","102","0","23325","5317","1370","227","147","0","2418","0","892813","538631","4861","345423","933","849"
33_016,"0","6185","0","25550","2967","342","41","7","52862","669266","2848","369124","18723","2991","598250","47721","19375"
33_017,"0","7115","0","149032","123973","49370","9186","217","5","5555","0","277855","836079","62938","293278","428","1385"
33_018,"0","520","0","5171","2023","365","9","91","3504","1064723","6292","570662","160252","480","863","532","931"
33_020,"0","129","0","6897","6612","1866","166","158646","854","76293","114","1338527","57864","9133","146717","2177","10429"
33_021,"0","25399","0","56134","27313","10119","2858","68978","0","58","0","288828","150706","1827","989687","183720","10611"
33_022,"0","21168","0","82901","56608","25416","3114","325","12881","44329","208","335035","94963","2007","1093527","41362","2572"
33_023,"0","562","0","4887","2047","187","8","883","150","170312","1","1436206","171372","7657","15677","1760","4537"
33_025,"0","798","0","10226","4011","321","4","52","6962","50191","134","1219146","428739","3345","79908","10557","2021"
33_026,"0","31735","0","33615","5956","560","73","4535","0","0","0","481028","590729","3333","663386","854","612"
33_027,"0","21350","0","52241","35132","24906","3875","48951","41205","56008","1169","727675","147804","3704","497012","146786","8426"
33_029,"0","67447","0","19411","16923","5211","957","862","3082","1340106","228","206006","87717","4756","1139","38431","24128"
33_109,"0","1103","0","339","212","36","1","185","39","1377260","16","151247","274516","84","0","8359","3019"
33_111,"0","107451","0","12598","4264","584","73","109","11310","1034415","10474","349976","180375","11870","2294","81724","8898"
33_119,"0","19100","12363","3386","1513","359","6","33703","5","871268","0","365497","470063","6163","0","7714","25274"
33_124,"0","13223","0","20120","9166","5130","562","277","0","92","0","345886","1142629","55297","221706","533","1794"
33_128,"0","73720","0","27466","7014","3903","969","3625","54622","189518","1021","842001","39632","48535","441027","22312","61048"
33_202,"0","2448","0","6101","1887","229","5","361","1121","1209045","150","361822","215555","133","0","7147","10417"
33_204,"0","11780","0","61241","24468","13072","2244","75","11625","184908","1914","93056","296594","17501","1090755","861","6325"
33_205,"0","1691","0","3404","860","283","28","73","254","1460195","696","219907","116522","12","15","5234","7242"
33_207,"0","6199","0","2566","2298","591","24","8296","256","998225","47","289532","499438","105","40","7672","959"
33_208,"0","5944","6","307","9","0","0","10654","265","787755","69","520595","467575","10","908","20648","1498"
33_209,"0","2620","0","2078","1888","239","4","5739","227","1055097","2","611666","117317","13675","663","1996","3201"
33_211,"0","19459","0","8323","2129","448","0","41","4375","51533","426","897179","754723","14024","56589","1648","5515"
33_212,"0","3448","0","2717","622","44","0","685","97","724008","13","437594","640199","6","0","3910","3068"
33_213,"0","2234","66","3214","993","188","21","7897","0","1017309","0","396346","384849","239","0","1409","1647"
33_214,"0","621","1007","2775","1970","1878","109","1257","4","361734","23","1390558","24410","9963","14690","544","4869"
33_217,"0","438","0","7402","1961","554","74","2219","296","228862","1","1283372","245297","7641","36902","286","940"
33_218,"0","17675","101","90","0","0","0","717","34","496910","56","519539","760141","650","11622","6953","1926"
33_219,"0","11107","0","13288","9253","1755","138","2026","1372","63220","56","1040186","385118","25557","213204","23158","26641"
33_220,"0","1193","0","4721","3823","952","47","90294","0","1455","0","1032898","586920","5360","81287","4116","3350"
33_221,"0","15716","0","20064","10720","1447","106","3820","0","0","0","915081","266968","2058","543693","29793","6952"
33_222,"0","1007","43","41039","3123","685","252","1855","92620","715056","4507","417199","86691","4832","310472","60453","76411"
33_223,"0","1418","0","0","0","0","0","12","106","391911","17","1115270","294475","0","0","3211","9995"
33_224,"0","239","0","741","371","54","2","255","0","171","0","179949","1623267","3492","6027","334","1176"
33_225,"0","13881","0","49377","28980","14824","4526","316","598","1521","39","412184","433832","16277","838588","1142","329"
33_226,"0","2521","0","13017","1753","114","17","910","20963","175403","3231","1342791","136486","34233","73086","9630","2258"
33_227,"0","1393","0","32568","3115","467","235","710","23673","115217","1207","1120518","114045","9634","390956","898","1605"
33_228,"0","10230","0","42049","9275","1393","616","801","113403","73367","1361","827515","42178","34990","637662","6012","15215"
33_901,"0","2890","0","9579","7319","1108","188","2837","0","0","0","939729","554492","3468","292574","1505","731"
33_902,"0","318","0","4523","8587","4379","658","15093","0","25650","15","1448657","243394","4255","60606","51","65"
33_903,"0","76","0","7030","8158","2130","178","3786","0","70061","30","1424957","76570","3817","219474","33","115"
33_904,"0","192","0","4091","6854","3048","436","3007","0","25","0","1240913","473817","2490","81392","33","115"
33_905,"0","227","0","6666","5613","3598","652","119677","2","1544","0","1121970","520801","2863","32798","0","1"
33_906,"0","1797","0","4387","475","38","0","3447","395","1594122","256","111349","80071","230","0","6072","13794"
33_907,"0","33068","0","13956","9925","4594","493","4489","3983","1063553","780","449578","140071","1386","214","46209","43937"
34_066,"0","13561","0","91808","100072","21809","7694","2173","139722","4389","3085","265","9073","138919","1249175","28891","5775"
34_001,"0","45596","0","61308","20290","2173","462","1044","332589","9043","124569","6721","17880","447563","683532","42650","20994"
34_004,"0","18492","0","151326","217827","88175","35581","5060","141559","4359","2138","717","12834","86953","1006003","35294","10096"
34_002,"0","7026","0","65170","50813","13746","4966","1917","83568","1812","45391","134","3959","113213","1408989","12764","2945"
34_065,"0","6302","0","66642","44493","10551","3904","1423","112162","1783","49875","824","8123","229082","1268926","9433","2890"
34_003,"0","18580","0","58719","61208","17138","8935","3801","189623","5341","29707","342","1460","117957","1283126","18708","1768"
34_006,"0","637526","0","106462","394331","352979","241305","9725","31125","113","1087","697","3551","3055","4221","29083","1154"
34_005,"0","44022","0","295347","632843","285590","139042","7110","160085","1061","19774","7216","29905","43952","70138","59486","20664"
34_014,"0","32477","0","259165","629737","287766","114644","8733","91903","1255","8161","2239","44040","39177","248710","34452","13954"
34_012,"0","5170","0","46398","45816","13951","5710","1110","33648","1336","489","80","699","31317","1627608","2066","669"
34_016,"0","11459","0","62017","59188","11842","3845","1558","103279","289","1100","141","12349","43436","1495172","10072","660"
34_008,"0","56893","0","61107","60889","20556","6719","1666","38239","887","108767","200","3507","85589","1302294","58049","10707"
34_018,"0","36573","0","204058","560993","265123","100561","10707","123705","1014","10879","6273","30649","46275","336894","69053","13658"
34_068,"0","23226","0","71838","55452","18814","7560","2764","135850","1435","4401","158","4896","38619","1414690","31262","5106"
34_007,"0","16179","0","59112","61916","23198","7294","1059","38032","486","93619","127","1559","89354","1392245","29075","3157"
34_010,"0","24734","0","58825","38464","9145","2413","556","141991","456","49185","105","3699","50328","1395230","36173","5110"
34_069,"0","43739","0","68286","74310","20595","10647","4133","172468","324","1736","262","45186","48758","1277987","38991","8815"
34_017,"0","15858","0","103241","255411","86946","27588","2525","117849","1522","10399","8216","39313","64634","1016495","54761","11656"
34_013,"0","15677","0","51288","61758","15326","5362","2149","30377","86","14407","4","7135","26360","1580603","5375","161"
34_067,"0","3770","0","46163","42093","6352","1627","549","126427","674","72107","741","580","157785","1352446","4679","248"
34_015,"0","18222","0","45697","50724","8415","1771","248","34361","88","2563","14","9134","9663","1631302","3550","486"
34_011,"0","4345","0","58179","33006","5894","2138","264","51325","721","69108","62","580","73175","1515478","1725","242"
34_009,"0","101281","0","52035","38534","6282","2137","1673","189859","180","74056","708","3005","65858","1215866","43238","21697"
34_026,"0","13891","0","53573","33116","6638","1113","405","238583","256","35544","337","2217","99824","1327705","2837","211"
34_032,"0","8004","0","49000","64274","15437","4534","2552","19454","68","15321","3","4394","21134","1607815","4121","123"
34_024,"0","5128","0","39692","46379","12051","2153","1281","175604","1712","15131","541","850","120552","1387298","5680","2183"
34_031,"0","3481","0","46425","41693","5655","1502","813","5982","53","6254","6","547","19040","1679918","4813","231"
34_022,"0","83140","0","57217","61615","14944","4201","2578","244172","4519","22549","1300","12685","119570","1104449","64735","18739"
34_029,"0","9314","0","45943","56369","13055","2349","217","37025","154","36070","136","1775","50535","1561213","2164","98"
34_023,"0","20796","0","44050","41157","7891","806","615","370898","266","50469","541","3416","173904","1095556","5655","399"
34_025,"0","72063","0","72904","113030","59630","20785","2447","329443","877","109151","924","6619","142645","836844","33513","15371"
34_028,"0","42932","0","67926","104398","42414","18323","2109","109509","5138","97007","671","4574","78786","1199407","30595","12627"
34_019,"0","71561","0","53090","65001","17453","5115","1405","249241","1054","26146","1100","6065","156638","1099028","50674","12504"
34_034,"0","960","0","51151","34392","4213","1313","344","16356","33","6671","26","505","16249","1670140","13571","485"
34_027,"0","7133","0","54276","61764","15471","4942","957","77235","110","76571","507","1810","106623","1400623","7997","397"
34_071,"0","80655","0","33595","45745","8230","1470","1238","496913","303","42104","1399","2131","122594","915593","39766","24678"
34_033,"0","12686","0","76865","65002","10602","5832","931","143235","207","18267","258","7070","47328","1413098","13651","1374"
34_020,"0","39023","0","41789","57217","17961","3328","1360","259669","696","32911","601","2758","208529","1127375","20427","2598"
34_072,"0","11269","0","44702","35524","4495","1016","491","92221","8303","32335","97","1368","54788","1505907","21685","2214"
34_030,"0","11697","0","65492","53141","10830","2277","330","18924","298","32185","38","1139","44613","1560304","14955","191"
34_070,"0","54408","0","43348","71087","37385","8952","1829","263880","998","51282","897","2617","243416","968730","58145","9442"
34_021,"0","82159","0","29790","35192","8587","1636","1294","313797","1277","32023","624","2095","90914","1061021","91839","64173"
34_073,"0","25526","0","57276","47612","12212","2789","905","36540","447","62443","287","3095","67378","1482464","17004","258"
34_044,"0","1678","0","53606","68347","13357","3435","538","4596","2","9956","0","350","22585","1628332","9201","255"
34_036,"0","28495","0","33526","43731","14572","2917","959","226534","2256","43230","375","1579","109051","1213952","61649","33592"
34_035,"0","60155","0","56122","80077","41551","10774","3776","309547","609","58878","2190","4476","276062","841491","58460","12082"
34_047,"0","1928","0","47151","56934","9180","3055","572","8073","2","14155","10","523","28096","1632523","13874","331"
34_040,"0","39066","0","84296","123534","71245","18756","5352","40574","259","114649","690","4461","132205","1137406","42802","944"
34_043,"0","37188","0","66404","71431","22340","6160","5658","41127","251","99106","521","4326","116327","1300258","44356","792"
34_038,"0","23687","0","39063","57719","24252","4114","2189","250653","264","106226","1216","1648","139036","1130845","28167","7341"
34_041,"0","22581","0","57347","46970","8471","2143","5031","28256","136","64234","176","2536","68733","1490650","18608","368"
34_037,"0","10302","0","44895","32214","5293","867","1489","257760","101","149494","491","1132","157247","1116907","35840","2385"
34_042,"0","15934","0","61298","45843","7474","1856","2308","29388","97","58850","174","1847","67647","1508045","15356","291"
34_045,"0","12080","0","72318","47641","10108","3100","777","126036","843","99820","206","1868","78851","1360423","1989","351"
34_074,"0","20107","0","45485","31027","6025","996","2194","402687","67","132309","524","1428","180848","944148","40771","7631"
34_039,"0","77022","0","50212","17714","2606","654","3883","447116","92","156806","770","2449","229819","693261","103806","30206"
34_046,"0","9246","0","78648","31572","4464","1276","1781","310215","358","95584","410","8155","112249","1156612","5137","542"
34_077,"0","25569","0","78419","28580","6842","2495","4261","408192","730","42215","1745","9798","100838","1064196","41073","1293"
34_075,"0","21875","0","68366","52262","11654","3246","2097","181584","117","164007","331","2126","100286","1203934","4147","204"
34_076,"0","13338","0","85052","31143","6950","2696","1706","231824","193","128609","312","5964","109665","1193482","4983","493"
34_048,"0","15097","0","77830","29579","4985","1783","3386","346934","159","26607","253","6289","87692","1190114","24980","722"
34_064,"0","7461","0","78791","24169","4333","1643","2721","295262","64","27986","264","4994","85376","1258688","23993","669"
34_051,"0","13009","0","105324","111097","36649","8502","1168","48028","300","132624","288","4174","134065","1151878","64713","4424"
34_057,"0","13465","0","74573","19490","3315","1275","768","220729","235","128033","1895","4886","154446","1152437","39303","1562"
34_052,"0","24893","0","164480","200771","78540","23989","1209","45815","327","171387","441","2989","120174","901881","69668","9850"
34_058,"0","22055","0","91521","30796","7870","2791","2153","253035","89","26292","766","4710","73160","1239549","56802","4819"
34_056,"0","7067","0","74455","22975","2958","1130","656","159949","80","52234","1712","2635","183715","1195526","108144","2832"
34_053,"0","73841","0","71101","53559","14592","4690","300","106102","352","136430","456","4598","110332","1145940","90783","3166"
34_078,"0","17609","0","59776","37602","11217","2992","1198","120663","97","62593","220","7199","87192","1225671","176880","5503"
34_049,"0","46718","0","80402","129563","49330","11923","6633","265945","304","137202","434","8081","181651","840792","45760","11682"
34_050,"0","46410","0","75291","88948","31919","8177","1780","108352","183","86396","269","20808","121782","1069794","148975","7334"
34_055,"0","66301","0","83725","49465","11632","3810","1856","301412","1110","199842","906","11197","326024","710867","45473","2626"
34_054,"0","38125","0","74751","27245","4057","1231","4033","216918","151","27212","275","1155","131411","1202685","83910","3256"
34_079,"0","8285","0","72369","28826","3240","958","313","271668","503","33130","530","2165","221664","1134327","36061","2382"
34_060,"0","67877","0","47943","46712","6668","976","8988","521576","1663","19182","1583","17845","382685","639734","47149","5826"
34_081,"0","76721","0","59738","12034","1976","741","6238","775426","39494","115405","5030","8911","226400","429140","54076","4916"
34_062,"0","38046","0","56523","14009","1431","278","2541","862433","76890","191035","3546","8535","279720","216524","56808","7924"
34_061,"0","26146","0","58312","31588","2811","680","2599","713398","21755","91220","2205","8573","402156","338323","94433","22214"
